"eucountry","year","population","GDP","gini"
Albania,2020,2866376.0,14370506253.3253,
Albania,2019,2866376.0,14862643983.3091,
Albania,2018,2866376.0,14546448944.4056,
Albania,2017,2866376.0,13977387390.5945,33.2
Albania,2016,2866376.0,13465406059.6498,33.7
Albania,2015,2866376.0,13033375121.5884,32.9
Albania,2014,2866376.0,12750473701.7819,34.6
Albania,2013,2866376.0,12528163103.1195,
Albania,2012,2866376.0,12403877841.0321,29.0
Albania,2011,2866376.0,12230507222.1843,
Albania,2010,2866376.0,11926928505.5231,
Albania,2009,2866376.0,11500613161.6647,
Albania,2008,2866376.0,11127823665.7504,30.0
Albania,2007,2866376.0,10351466806.2388,
Albania,2006,2866376.0,9767379279.88863,
Albania,2005,2866376.0,9223202583.88038,30.6
Albania,2004,2866376.0,8739893896.95844,
Albania,2003,2866376.0,8283474557.11024,
Albania,2002,2866376.0,7849398816.77983,31.7
Albania,2001,2866376.0,7508515182.79876,
Albania,2000,2866376.0,6933706092.26578,
Andorra,2020,77006.0,3121702240.48787,
Andorra,2019,77006.0,3545618454.19594,
Andorra,2018,77006.0,3475566750.62972,
Andorra,2017,77006.0,3421211719.47501,
Andorra,2016,77006.0,3409412700.51704,
Andorra,2015,77006.0,3287458570.8604,
Andorra,2014,77006.0,3240978390.56079,
Andorra,2013,77006.0,3161792390.29564,
Andorra,2012,77006.0,3278085642.31738,
Andorra,2011,77006.0,3449688452.87021,
Andorra,2010,77006.0,3449966856.68832,
Andorra,2009,77006.0,3519475009.94299,
Andorra,2008,77006.0,3716558398.51518,
Andorra,2007,77006.0,3935330770.25056,
Andorra,2006,77006.0,3875142516.24022,
Andorra,2005,77006.0,3697348535.06562,
Andorra,2004,77006.0,3507994166.77714,
Andorra,2003,77006.0,3244067347.20933,
Andorra,2002,77006.0,2984581731.4066,
Andorra,2001,77006.0,2854792522.86889,
Andorra,2000,77006.0,2640408325.59989,
Austria,2020,8840521.0,419595298128.512,
Austria,2019,8840521.0,449199380962.245,
Austria,2018,8840521.0,442915585749.024,30.8
Austria,2017,8840521.0,431775262676.529,29.7
Austria,2016,8840521.0,421657228102.472,30.8
Austria,2015,8840521.0,413432253216.039,30.5
Austria,2014,8840521.0,409280100109.633,30.5
Austria,2013,8840521.0,406591421433.927,30.8
Austria,2012,8840521.0,406487747903.707,30.5
Austria,2011,8840521.0,403740513438.199,30.8
Austria,2010,8840521.0,392275107258.667,30.3
Austria,2009,8840521.0,385198647266.611,31.5
Austria,2008,8840521.0,400267011848.042,30.4
Austria,2007,8840521.0,394505559258.526,30.6
Austria,2006,8840521.0,380329113681.259,29.6
Austria,2005,8840521.0,367630985634.815,28.7
Austria,2004,8840521.0,359562175533.158,29.8
